IDTransação,IDpessoal,DatadaTransação,Valor,Empresa,Categoria,Fraude
462e62ea-3043-444d-a60d-3a6a97d2d161,c0af4019-632c-49a7-ac4f-134252317405,2024-06-29 05:21:22,329.84,Hull-Gonzalez,Mercado,0
2cb4a99f-4ea6-4735-8d94-0a34b1bdb9df,fec80d8a-1b1d-4f1d-aca1-1ad428d3aaf0,2024-03-30 09:00:51,794.27,"Butler, Johnson and Jackson",Mercado,0
23f4c589-48e1-4369-881d-f43a4e52574c,66ee19a6-ce84-4117-b786-5215bf4f8e96,2024-06-26 03:05:02,690.0,Burke LLC,Mercado,0
35bd35e9-7bc2-4355-9068-2617bbe76b31,fd30df63-36a2-4818-92ce-8c4753ba2934,2024-04-28 04:40:46,321.69,Lowe PLC,Padaria,0
dba5b783-f564-443d-abd7-587f2c63dbf8,55849ccf-21bb-4b16-9d32-95a330e6be66,2024-03-31 18:16:23,631.12,"Williams, Velasquez and Chavez",Roupas,0
c8c4d387-2ea5-43e6-8f81-5f5906d52a9c,4d34e7e2-7386-4a28-bacf-e9d382b25c8f,2024-06-23 17:01:24,909.35,Flynn-Woods,Viagens,0
d8f25cfc-deed-4443-95c7-65819b7cdb0e,734703d8-5410-4d52-ba13-1154c7561cfc,2024-01-13 20:05:35,310.46,Lewis-Johnson,Roupas,0
aacc951b-5a9a-48f3-9d5c-f581a661c5e4,ccc20748-e172-49f2-9088-8fceae2873e6,2024-05-30 22:37:26,923.35,Lee-Williams,Padaria,0
76b0963b-b224-4a6b-8c60-ca73edf67473,7bfc1c18-7e5c-4883-b4b0-9146874bc9f9,2024-01-01 19:39:20,71.82,"Weber, Higgins and Valdez",Viagens,0
e179c19d-2fa2-4eec-bcb2-1def445e19fc,1685c095-deb5-410d-ade6-fe3267fa1c70,2024-02-03 05:22:16,696.57,Ewing Ltd,Roupas,0
1e75a030-d447-49c2-af6f-5b2798519184,96a9111f-5bda-4afc-a285-9f25eebdc35f,2024-05-21 07:13:31,676.13,Harris PLC,Padaria,0
3b471061-79dd-46f2-ad87-37d4c3e3d9d2,9f7fac43-bc6d-4349-a79c-e271f72a027e,2024-06-17 01:36:22,229.03,Combs-Clements,Entretenimento,0
c2dbbce3-7e09-40f9-9fe8-0cb60e05f507,4906ba4f-4b0f-4077-a732-53971a775a70,2024-03-30 02:11:03,307.48,Kim-Neal,Entretenimento,0
e298affc-24b8-4ea9-80bd-a429a667fa3a,cb8d6de1-af6b-491c-90e0-81d683297e6a,2024-03-26 12:25:02,461.76,"Macdonald, Miller and Martinez",Mercado,0
ad93d74f-eac0-40a9-bb87-fd41e610fdec,861a1211-73a2-4c96-8b67-809d2cfaa312,2024-05-13 17:16:19,257.36,"Richard, Daniels and Young",Viagens,0
c4f870ee-598b-45b3-a992-d544011b44c8,4150f1f8-e60e-4f7e-894d-848ddc177112,2024-05-27 12:59:03,459.88,"Barrera, Dixon and King",Roupas,0
cb54b83f-66e0-4d1f-9349-7523323a0a4f,02decc77-6d6d-4374-bede-e58d264c44c1,2024-01-23 09:53:10,827.96,"Johnson, Cook and Carter",Mercado,0
74f013c0-e9b2-4926-86c1-3e08132f6d81,82142e71-6ad4-4274-b689-e3680100cc52,2024-04-16 01:21:49,823.43,Chavez Group,Roupas,0
60a3f12c-3181-4d8c-a100-0295fa6b5c81,d6d53b27-f16d-4d12-8c2b-a1e85e0f747f,2024-02-19 20:13:34,645.79,Walsh-Stanley,Eletronicos,0
8fbc118b-7a6f-453f-af0d-d300394496e8,9aff65e6-d757-42db-9861-25c27efdecd8,2024-05-10 12:10:59,875.67,Hicks and Sons,Mercado,0
ed21f8da-d25c-42ec-b7f7-113f5e42d092,a37ab711-4121-4acd-8793-33aa1b827c50,2024-05-19 00:52:10,278.67,"Gutierrez, Hobbs and Carroll",Entretenimento,0
bd9a9013-e22f-4688-867a-b57776b7d9a3,4667dab4-d3c0-4554-a4a3-37115913b48a,2024-04-23 15:44:51,973.31,"Brooks, Smith and Chaney",Padaria,0
2e19ffd2-936d-4ecc-b66c-b56b52f31e92,67b03d47-d67b-4f37-a368-43913231a962,2024-04-04 23:23:23,942.74,"Humphrey, Smith and Sullivan",Eletronicos,0
c0f30ca6-fd4f-4433-bd73-4731d57a620c,29d3fd82-e883-488f-beeb-c19193ae2392,2024-01-23 03:31:44,456.48,"Brown, Ochoa and Harper",Entretenimento,0
22a16e6c-45ca-450e-9cc8-1471ffef2b8a,9a4e471a-9836-4baf-a918-80a9cb2601dd,2024-03-15 15:04:45,278.67,Snyder LLC,Padaria,0
ae7a98f3-80ab-40a6-9f6f-0157f1d7cd3e,0a781bbb-05d0-4bba-81bf-a02220cc5504,2024-02-07 01:50:23,147.27,"Mitchell, Fleming and Gomez",Padaria,0
73d0a2df-1a4b-40ba-9bb6-68960443af56,8f74d375-b0d2-4cbc-9aaf-261d5b076f9d,2024-03-14 14:17:10,708.82,Hayes-Owens,Viagens,0
7e0185f0-5e21-4e56-b58c-c6f76eb02cbf,eaf06b77-ac5b-4c70-b1d8-993db463f04c,2024-05-27 13:12:15,776.06,Brown LLC,Roupas,0
acd93405-b3a2-4033-8350-b3473c02c878,f9885424-06e8-4425-98b4-0a9e2241bd4e,2024-05-19 14:09:57,242.14,Clayton Ltd,Padaria,0
43fd4696-9eb8-464d-b66e-3ad67d1b5310,0c811c4a-084a-4f99-96b4-d0053540a29a,2024-03-04 14:01:05,861.47,"Brown, Andrews and Gibson",Viagens,0
c74a7f57-896d-4f14-a2b0-ffbf5f4de691,af516f94-df68-4ad1-9dbd-bebd3f83a09c,2024-02-20 12:23:10,949.17,Haynes and Sons,Roupas,0
ad9cea00-4b1f-434c-999c-3ac476567b6e,588b6ba4-7afe-4282-a3bd-8a8f6c1a91e5,2024-01-03 17:50:49,161.6,Wilson-Jenkins,Eletronicos,0
ca22de20-05e5-421a-b5df-38c0b3edd434,72d91456-5dc3-4247-a652-404d3e4ec717,2024-04-24 09:15:42,340.03,Guerra-Ortiz,Padaria,0
32b79d9e-460c-46e6-8dcc-101c772c21a4,30b7b6e1-8952-4b01-8173-235c8130bc07,2024-03-18 01:27:37,248.47,Wright Group,Roupas,0
5e90112c-d210-4532-978b-5934455eb66d,316757b0-b68c-4de5-b88b-c105d048f494,2024-04-26 00:46:15,735.4,Reynolds PLC,Mercado,0
2a55cfe3-9dad-4021-bb8d-d968a8cd1d1b,3bd99c62-8eab-41fe-aeb9-6640b30fa421,2024-04-25 08:27:13,289.67,Barker and Sons,Eletronicos,0
